customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
9,573,kabuli chana,2023-07-24,9,140,4,560,Store-credit
15,573,sugar,2022-06-17,7,50,5,250,UPI
15,572,deodorant,2022-11-10,4,141,4,564,cash
12,574,deodorant,2023-09-30,11,141,2,282,Store-credit
3,572,cashews,2022-06-21,5,340,5,1700,Store-credit
65,575,cashews,2023-06-04,15,340,9,3060,Store-credit
7,572,mustard oil,2022-10-14,4,110,2,220,Store-credit
54,575,cashews,2022-06-29,14,340,4,1360,cash
96,574,dantkanti,2021-10-19,10,100,9,900,UPI
51,574,black pepper,2023-09-17,11,52,2,104,cash
25,573,amul ghee,2022-04-18,7,596,8,4768,cash
25,574,atta,2023-09-17,11,450,9,4050,Store-credit
81,571,dove shampoo,2021-11-05,3,574,9,5166,Store-credit
30,573,black pepper,2021-06-13,8,52,3,156,UPI
78,575,dantkanti,2022-11-02,13,100,2,200,cash
89,573,amul ghee,2023-04-22,8,596,6,3576,cash
71,573,nutrella,2023-08-31,9,40,9,360,UPI
69,571,deodorant,2021-08-31,1,141,5,705,cash
34,575,atta,2021-06-25,14,450,9,4050,Store-credit
94,575,deodorant,2023-04-02,13,141,7,987,cash
88,574,kabuli chana,2022-11-07,10,140,3,420,cash
49,571,hair gel,2021-09-18,2,65,6,390,UPI
19,575,maida,2022-07-11,13,20,4,80,Store-credit
82,571,clinic plus,2022-03-20,2,345,5,1725,Store-credit
34,571,atta,2023-04-15,1,450,5,2250,UPI
36,571,kabuli chana,2022-03-08,1,140,9,1260,Store-credit
33,574,nutrella,2021-07-26,12,40,6,240,cash
85,571,maggi masala,2021-05-15,3,80,3,240,UPI
47,574,hair gel,2022-05-18,12,65,3,195,Store-credit
52,571,dove shampoo,2022-02-22,2,574,6,3444,Store-credit
43,574,atta,2021-03-09,10,450,8,3600,cash
47,574,nutrella,2023-05-07,10,40,10,400,UPI
46,571,hair gel,2022-01-14,1,65,8,520,cash
26,573,black pepper,2022-12-05,8,52,5,260,UPI
81,574,maida,2021-11-06,12,20,4,80,UPI
96,574,deodorant,2022-07-09,11,141,8,1128,cash
14,575,atta,2023-04-20,15,450,4,1800,Store-credit
96,571,mustard oil,2022-09-10,1,110,6,660,cash
78,574,mustard oil,2022-07-29,12,110,1,110,cash
88,573,cashews,2021-02-25,8,340,8,2720,Store-credit
57,573,kabuli chana,2021-03-13,8,140,3,420,UPI
82,573,hair gel,2023-05-10,8,65,8,520,cash
91,571,dove shampoo,2022-03-03,3,574,4,2296,cash
80,572,cashews,2021-09-05,4,340,7,2380,Store-credit
39,574,black pepper,2023-08-23,12,52,10,520,UPI
4,575,dantkanti,2021-10-23,14,100,6,600,cash
3,572,deodorant,2022-11-25,5,141,3,423,cash
19,575,coriander powder,2022-03-27,14,50,1,50,UPI
82,573,quaker oats,2022-06-20,8,212,4,848,Store-credit
48,571,kabuli chana,2022-07-04,2,140,6,840,Store-credit
44,571,sugar,2022-08-27,1,50,10,500,cash
24,572,black pepper,2023-02-25,5,52,2,104,UPI
64,572,quaker oats,2021-05-15,6,212,2,424,Store-credit
12,575,clinic plus,2022-10-10,13,345,2,690,Store-credit
2,572,mustard oil,2023-06-01,6,110,5,550,cash
24,573,quaker oats,2023-02-16,7,212,9,1908,UPI
86,574,black pepper,2023-07-30,11,52,3,156,cash
77,573,amul ghee,2023-09-24,8,596,10,5960,cash
36,574,cashews,2022-02-02,10,340,7,2380,cash
31,571,besan,2022-08-28,2,52,7,364,cash
51,573,coriander powder,2021-10-19,9,50,9,450,UPI
92,572,maida,2021-06-18,6,20,8,160,cash
91,572,deodorant,2021-06-06,4,141,4,564,cash
55,574,coriander powder,2021-11-09,10,50,9,450,Store-credit
