customer_id,store_id,product_name,sales_date,price,quantity,total_cost
28,122,dove shampoo,2023-04-11,574,10,5740
36,130,amul ghee,2023-10-20,596,1,596
41,121,kabuli chana,2023-07-14,140,5,700
48,130,besan,2023-08-30,52,7,364
41,125,quaker oats,2023-07-04,212,5,1060
49,126,nutrella,2023-03-16,40,9,360
41,126,kabuli chana,2023-09-24,140,7,980
6,123,nutrella,2023-04-21,40,2,80
10,126,black pepper,2023-05-19,52,8,416
37,122,black pepper,2023-08-03,52,1,52
26,128,hair gel,2023-05-06,65,1,65
10,122,dantkanti,2023-08-17,100,5,500
9,124,black pepper,2023-02-21,52,7,364
27,125,coriander powder,2023-10-11,50,8,400
22,121,mustard oil,2023-08-24,110,9,990
7,128,clinic plus,2023-05-06,345,9,3105
19,122,cashews,2023-04-17,340,8,2720
47,129,kabuli chana,2023-06-23,140,9,1260
21,130,kabuli chana,2023-05-28,140,2,280
27,130,amul ghee,2023-09-20,596,3,1788
9,123,amul ghee,2023-05-07,596,3,1788
45,121,coriander powder,2023-06-28,50,8,400
39,124,dove shampoo,2023-03-02,574,7,4018
21,124,black pepper,2023-02-28,52,6,312
17,121,sunflower oil,2023-06-13,120,1,120
36,127,nutrella,2023-07-27,40,7,280
26,123,coriander powder,2023-08-22,50,10,500
11,123,maggi masala,2023-07-14,80,4,320
18,122,cashews,2023-07-17,340,9,3060
9,128,quaker oats,2023-05-08,212,6,1272
28,129,sugar,2023-10-08,50,9,450
49,122,nutrella,2023-08-20,40,3,120
46,122,atta,2023-02-21,450,4,1800
9,123,hair gel,2023-09-06,65,2,130
32,123,atta,2023-04-17,450,2,900
49,122,dantkanti,2023-08-20,100,2,200
45,125,nutrella,2023-02-21,40,7,280
4,127,atta,2023-09-14,450,4,1800
7,125,dantkanti,2023-04-27,100,9,900
19,127,mustard oil,2023-05-24,110,2,220
2,121,cashews,2023-06-14,340,8,2720
25,121,nutrella,2023-07-04,40,2,80
25,128,dove shampoo,2023-04-02,574,2,1148
14,130,atta,2023-04-23,450,3,1350
11,127,hair gel,2023-03-02,65,6,390
5,126,clinic plus,2023-06-13,345,7,2415
8,128,coriander powder,2023-09-11,50,9,450
46,129,sunflower oil,2023-08-10,120,8,960
37,121,besan,2023-04-15,52,10,520
17,123,atta,2023-06-17,450,2,900
45,122,deodorant,2023-04-13,141,8,1128
46,130,clinic plus,2023-07-17,345,3,1035
43,126,maida,2023-02-24,20,7,140
38,122,dove shampoo,2023-08-20,574,3,1722
18,122,dantkanti,2023-06-13,100,6,600
1,128,mustard oil,2023-03-27,110,4,440
32,122,sugar,2023-08-13,50,10,500
37,130,clinic plus,2023-09-19,345,8,2760
42,127,sugar,2023-08-28,50,7,350
37,130,cashews,2023-07-29,340,1,340
48,121,besan,2023-09-27,52,10,520
32,125,maggi masala,2023-09-22,80,6,480
2,129,maida,2023-08-21,20,10,200
44,127,nutrella,2023-03-30,40,4,160
4,128,coriander powder,2023-09-03,50,6,300
45,129,sunflower oil,2023-02-23,120,5,600
29,129,amul ghee,2023-06-30,596,9,5364
37,126,hair gel,2023-03-30,65,2,130
45,121,atta,2023-06-16,450,3,1350
41,129,mustard oil,2023-08-20,110,5,550
34,128,clinic plus,2023-09-28,345,7,2415
29,130,kabuli chana,2023-03-23,140,3,420
13,121,hair gel,2023-07-22,65,1,65
12,126,quaker oats,2023-07-05,212,6,1272
5,121,cashews,2023-05-05,340,10,3400
34,127,clinic plus,2023-05-15,345,3,1035
14,129,clinic plus,2023-07-23,345,8,2760
46,126,atta,2023-07-04,450,5,2250
50,122,clinic plus,2023-06-22,345,8,2760
44,125,kabuli chana,2023-07-24,140,7,980
48,130,sunflower oil,2023-09-02,120,10,1200
12,126,coriander powder,2023-03-15,50,3,150
15,130,sunflower oil,2023-09-22,120,3,360
9,130,nutrella,2023-03-22,40,1,40
24,126,atta,2023-08-27,450,1,450
35,126,deodorant,2023-09-16,141,5,705
41,125,coriander powder,2023-02-27,50,3,150
27,130,amul ghee,2023-05-01,596,7,4172
22,123,mustard oil,2023-05-14,110,4,440
24,129,maggi masala,2023-07-12,80,10,800
18,123,cashews,2023-08-14,340,2,680
50,124,mustard oil,2023-07-06,110,10,1100
16,127,amul ghee,2023-09-27,596,9,5364
20,124,amul ghee,2023-05-17,596,6,3576
41,129,quaker oats,2023-09-15,212,5,1060
38,125,dove shampoo,2023-04-15,574,2,1148
46,122,maggi masala,2023-10-20,80,1,80
40,129,coriander powder,2023-03-15,50,9,450
23,126,besan,2023-07-26,52,5,260
42,122,mustard oil,2023-02-28,110,10,1100
