customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
38,124,mustard oil,2023-03-26,10,110,6,660
50,122,nutrella,2023-09-13,6,40,10,400
12,129,amul ghee,2023-07-30,25,596,4,2384
43,124,coriander powder,2023-06-23,12,50,7,350
34,121,black pepper,2023-02-23,1,52,3,156
32,128,deodorant,2023-08-26,22,141,4,564
10,122,quaker oats,2023-05-29,4,212,5,1060
14,122,deodorant,2023-05-10,4,141,2,282
44,128,hair gel,2023-07-17,23,65,8,520
30,126,maida,2023-08-08,16,20,5,100
32,128,kabuli chana,2023-03-07,22,140,7,980
28,124,hair gel,2023-09-29,10,65,1,65
50,124,dove shampoo,2023-09-13,11,574,4,2296
3,130,besan,2023-08-27,30,52,4,208
38,130,quaker oats,2023-08-26,29,212,2,424
6,122,maggi masala,2023-10-11,6,80,8,640
29,124,besan,2023-05-29,10,52,3,156
37,122,dantkanti,2023-06-29,4,100,3,300
42,124,hair gel,2023-03-27,11,65,3,195
34,128,maggi masala,2023-04-16,24,80,4,320
24,130,amul ghee,2023-05-07,28,596,5,2980
32,121,coriander powder,2023-06-11,1,50,6,300
46,123,cashews,2023-08-15,9,340,9,3060
40,126,amul ghee,2023-04-11,18,596,10,5960
37,128,mustard oil,2023-03-28,23,110,1,110
13,123,besan,2023-04-04,7,52,9,468
9,122,hair gel,2023-04-07,4,65,8,520
22,127,besan,2023-08-02,20,52,2,104
29,122,clinic plus,2023-08-09,6,345,3,1035
38,128,mustard oil,2023-08-27,24,110,5,550
34,128,clinic plus,2023-03-09,22,345,2,690
32,122,nutrella,2023-09-16,5,40,8,320
44,121,maida,2023-09-02,2,20,4,80
9,124,besan,2023-04-11,10,52,9,468
33,125,kabuli chana,2023-08-11,13,140,8,1120
10,121,atta,2023-05-16,3,450,8,3600
38,125,sunflower oil,2023-03-12,14,120,6,720
49,121,cashews,2023-03-22,2,340,10,3400
28,121,maida,2023-05-25,3,20,2,40
3,122,deodorant,2023-07-20,6,141,4,564
49,123,coriander powder,2023-08-10,8,50,8,400
43,122,amul ghee,2023-05-31,5,596,6,3576
34,122,maggi masala,2023-03-26,5,80,2,160
2,122,nutrella,2023-05-10,6,40,6,240
28,125,dove shampoo,2023-03-01,14,574,7,4018
16,123,hair gel,2023-03-12,9,65,3,195
34,122,besan,2023-07-05,4,52,8,416
11,128,nutrella,2023-10-05,23,40,4,160
37,126,deodorant,2023-05-29,18,141,3,423
7,122,nutrella,2023-05-31,5,40,7,280
32,129,dove shampoo,2023-09-14,26,574,3,1722
37,123,quaker oats,2023-05-05,7,212,5,1060
10,121,nutrella,2023-02-22,3,40,8,320
26,122,besan,2023-09-19,4,52,7,364
44,128,cashews,2023-07-08,22,340,3,1020
1,130,maggi masala,2023-04-15,28,80,2,160
12,126,mustard oil,2023-05-08,17,110,1,110
36,128,black pepper,2023-03-27,24,52,5,260
34,126,kabuli chana,2023-03-23,17,140,3,420
49,126,sunflower oil,2023-09-08,17,120,1,120
2,121,dove shampoo,2023-07-31,2,574,4,2296
24,126,mustard oil,2023-07-13,17,110,2,220
20,125,atta,2023-10-11,14,450,4,1800
31,121,cashews,2023-05-27,1,340,1,340
23,124,besan,2023-02-22,11,52,5,260
17,129,quaker oats,2023-07-09,26,212,5,1060
22,122,clinic plus,2023-04-03,6,345,10,3450
32,128,amul ghee,2023-03-16,24,596,3,1788
46,128,black pepper,2023-06-16,22,52,5,260
21,127,deodorant,2023-08-03,21,141,2,282
39,130,deodorant,2023-06-25,30,141,4,564
45,130,maggi masala,2023-07-12,28,80,1,80
41,123,atta,2023-04-29,9,450,4,1800
29,128,deodorant,2023-08-05,24,141,5,705
30,126,deodorant,2023-09-22,16,141,6,846
16,126,deodorant,2023-08-28,17,141,8,1128
16,130,sunflower oil,2023-06-26,28,120,8,960
37,127,dove shampoo,2023-08-07,20,574,9,5166
29,128,deodorant,2023-08-11,22,141,5,705
10,130,besan,2023-06-28,29,52,2,104
33,123,besan,2023-03-07,8,52,9,468
31,129,sunflower oil,2023-09-03,26,120,10,1200
4,124,sugar,2023-05-15,11,50,6,300
14,128,hair gel,2023-06-19,24,65,5,325
40,126,besan,2023-05-20,18,52,6,312
26,130,deodorant,2023-08-05,30,141,6,846
50,122,dantkanti,2023-09-04,6,100,8,800
3,128,amul ghee,2023-10-02,23,596,5,2980
19,127,sugar,2023-08-31,20,50,1,50
45,126,coriander powder,2023-09-13,16,50,9,450
17,130,black pepper,2023-02-24,29,52,3,156
40,128,amul ghee,2023-04-29,22,596,7,4172
19,123,dantkanti,2023-03-16,8,100,6,600
5,123,sugar,2023-02-23,9,50,7,350
42,130,nutrella,2023-07-09,30,40,10,400
26,122,hair gel,2023-04-30,5,65,5,325
5,126,dantkanti,2023-07-09,17,100,5,500
43,130,quaker oats,2023-05-12,30,212,6,1272
29,129,clinic plus,2023-03-08,27,345,8,2760
25,122,mustard oil,2023-09-16,6,110,8,880
11,130,coriander powder,2023-08-12,29,50,7,350
31,128,maggi masala,2023-07-03,22,80,5,400
49,125,mustard oil,2023-07-10,15,110,9,990
44,125,sunflower oil,2023-03-06,15,120,2,240
5,126,dantkanti,2023-09-13,16,100,5,500
42,123,sunflower oil,2023-03-14,7,120,6,720
48,122,maida,2023-06-11,6,20,10,200
17,121,coriander powder,2023-04-24,2,50,1,50
48,127,nutrella,2023-05-05,21,40,1,40
23,125,maida,2023-06-14,15,20,3,60
39,128,kabuli chana,2023-08-04,23,140,5,700
32,125,amul ghee,2023-02-20,13,596,10,5960
8,125,coriander powder,2023-03-17,14,50,7,350
44,130,sugar,2023-06-16,28,50,10,500
44,126,besan,2023-03-07,17,52,5,260
25,121,mustard oil,2023-06-25,3,110,1,110
36,121,cashews,2023-03-20,3,340,8,2720
38,122,clinic plus,2023-06-23,4,345,5,1725
50,124,amul ghee,2023-04-11,12,596,6,3576
40,122,dove shampoo,2023-05-19,4,574,2,1148
14,129,besan,2023-05-29,26,52,5,260
50,125,maggi masala,2023-10-22,15,80,1,80
43,124,amul ghee,2023-03-04,12,596,7,4172
44,123,sunflower oil,2023-02-22,9,120,5,600
22,126,maggi masala,2023-03-12,17,80,9,720
45,124,hair gel,2023-08-11,11,65,1,65
12,121,sugar,2023-04-25,1,50,8,400
17,129,black pepper,2023-06-08,26,52,7,364
